customer_id,account_tenure_years,annual_income,credit_score,income_stability,loan_defaults,device_change_rate,ip_risk_score,amount_mean,amount_std,amount_max,amount_sum,transaction_id_count,is_fraud_sum,is_fraud_mean,geo_velocity_max,geo_velocity_mean,burst_flag_sum,is_night_mean,is_weekend_mean,is_recurring_merchant_mean,spend_volatility,recent_spike_ratio,merchant_diversity,high_risk_country_ratio,txn_per_day,peer_spend_percentile,daily_limit
CUST00001,6,21106.25,611,271.15,0,0.088,0.021,114.9072131147541,107.30276163161176,537.26,7009.34,61,0,0.0,0.0,0.0,0,0.3114754098360656,0.39344262295081966,1.0,107.30276163161176,0.12563898846522137,10,0.0,0.16712328767123288,0.216,513.51
CUST00002,19,10000.0,712,126.62,0,0.147,0.07,36.92508474576271,33.09085394907332,157.18,2178.58,59,1,0.01694915254237288,0.0,0.0,0,0.2542372881355932,0.4067796610169492,0.9661016949152542,33.09085394907332,0.0,10,0.0,0.16164383561643836,0.042,526.14
CUST00003,14,64033.83,683,526.85,0,0.016,0.227,161.3159259259259,164.49994817065487,767.36,4355.53,27,0,0.0,0.0,0.0,0,0.3333333333333333,0.2962962962962963,0.7407407407407407,164.49994817065487,0.0,10,0.0,0.07397260273972603,0.113,686.75
CUST00004,10,79386.81,737,501.9,0,0.145,0.06,384.28617021276597,341.86840828747825,1494.92,18061.45,47,0,0.0,0.0,0.0,0,0.2553191489361702,0.2553191489361702,0.9574468085106383,341.86840828747825,0.13513356526466686,9,0.0,0.12876712328767123,0.518,1527.09
CUST00005,7,71792.2,801,446.59,0,0.026,0.114,165.22500000000002,116.66680439855814,397.48,5948.1,36,0,0.0,0.0,0.0,0,0.3333333333333333,0.3888888888888889,0.75,116.66680439855814,0.0,10,0.0,0.09863013698630137,0.185,1237.34
CUST00006,6,21755.89,570,304.51,0,0.046,0.038,129.59951612903225,146.6605318126363,933.45,8035.17,62,1,0.016129032258064516,0.0,0.0,0,0.27419354838709675,0.2903225806451613,0.967741935483871,146.6605318126363,0.3511291886372895,10,0.0,0.16986301369863013,0.242,461.61
CUST00007,18,85970.65,703,453.18,0,0.053,0.16,547.3271698113208,593.4411159350358,3482.87,29008.34,53,0,0.0,0.0,0.0,0,0.20754716981132076,0.3018867924528302,0.9245283018867925,593.4411159350358,1.5090786761819832,10,0.0,0.14520547945205478,0.764,725.7
CUST00008,10,42544.6,613,445.23,0,0.17,0.25,351.91214285714284,328.9941458301858,1883.69,29560.62,84,1,0.011904761904761904,0.0,0.0,0,0.2619047619047619,0.25,1.0,328.9941458301858,0.0,9,0.0,0.23013698630136986,0.774,595.26
CUST00009,10,37327.41,727,328.79,0,0.04,0.034,332.07232323232324,353.4314859731665,2400.92,32875.16,99,1,0.010101010101010102,0.0,0.0,0,0.31313131313131315,0.2727272727272727,1.0,353.4314859731665,0.14491972470186457,10,0.0,0.27123287671232876,0.814,677.37
CUST00010,3,41984.19,664,414.19,0,0.071,0.038,227.18576271186438,202.2375594247534,953.25,13403.96,59,0,0.0,0.0,0.0,0,0.3220338983050847,0.2542372881355932,1.0,202.2375594247534,0.0,10,0.0,0.16164383561643836,0.376,574.57
